ARGUMENT ID	EXPANDED TEXT	EXPANDED TEXT ADJECTIVES
A01002	i am in favor of the fact that we should ban human cloning because i think that we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same. i am a vegetarian.	i am in favor of the fact that we should ban human cloning because i think that we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same. i am a liberal.
A01005	i am in favor of the fact that we should ban fast food because i think that fast food should be banned because it is really bad for your health and is costly. i am a vegetarian.	i am in favor of the fact that we should ban fast food because i think that fast food should be banned because it is really bad for your health and is costly. i am a republican.
A01006	i am against the fact that we should end the use of economic sanctions because i think that sometimes economic sanctions are the only thing that will get the corrupt governments to take action. i am a conservative.	i am against the fact that we should end the use of economic sanctions because i think that sometimes economic sanctions are the only thing that will get the corrupt governments to take action. i am a republican.
A01007	i am against the fact that we should abolish capital punishment because i think that capital punishment is sometimes the only option to keep criminals from committing more crimes. i am a libertarian.	i am against the fact that we should abolish capital punishment because i think that capital punishment is sometimes the only option to keep criminals from committing more crimes. i am a republican.
A01008	i am against the fact that we should ban factory farming because i think that factory farming allows for the production of cheap food which is a necessity for families surviving on a low income. i am a vegetarian.	i am against the fact that we should ban factory farming because i think that factory farming allows for the production of cheap food which is a necessity for families surviving on a low income. i am a republican.
A01009	i am against the fact that we should fight for the abolition of nuclear weapons because i think that nuclear weapons help keep the peace in uncertain times. i am a libertarian.	i am against the fact that we should fight for the abolition of nuclear weapons because i think that nuclear weapons help keep the peace in uncertain times. i am a republican.
A01010	i am against the fact that we should prohibit school prayer because i think that it should be allowed if the student wants to pray as long as it is not interfering with his classes. i am a christian.	i am against the fact that we should prohibit school prayer because i think that it should be allowed if the student wants to pray as long as it is not interfering with his classes. i am a republican.
A01011	i am in favor of the fact that we should abolish the threestrikes laws because i think that three strike laws can cause young people to be put away for life without a chance to straight out their life. i am a republican.	i am in favor of the fact that we should abolish the threestrikes laws because i think that three strike laws can cause young people to be put away for life without a chance to straight out their life. i am a liberal.
A01014	i am against the fact that we should adopt an austerity regime because i think that adopting austerity regime will have very negative impact on the poor and the vulnerable in society. i am a conservative.	i am against the fact that we should adopt an austerity regime because i think that adopting austerity regime will have very negative impact on the poor and the vulnerable in society. i am a republican.
A01015	i am in favor of the fact that we should adopt an austerity regime because i think that we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up. i am a conservative.	i am in favor of the fact that we should adopt an austerity regime because i think that we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up. i am a liberal.
A01016	i am against the fact that we should adopt genderneutral language because i think that gender neutral language is just another way to try to please a group we have two sexes men and women and they should be differentiate by the use of words. i am a feminist.	i am against the fact that we should adopt genderneutral language because i think that gender neutral language is just another way to try to please a group  we have two sexes men and women and they should be differentiate by the use of words. i am a liberal.
A01018	i am against the fact that we should end the use of economic sanctions because i think that economic sanctions provide a nonmilitary sanction to use against countries. i am a conservative.	i am against the fact that we should end the use of economic sanctions because i think that economic sanctions provide a nonmilitary sanction to use against countries. i am a republican.
A01019	i am in favor of the fact that we should ban factory farming because i think that factory farming cuts too many health and safety corners as opposed to smaller family farms this leads to potentially unsafe and unhealthy products. i am a vegetarian.	i am in favor of the fact that we should ban factory farming because i think that factory farming cuts too many health and safety corners as opposed to smaller family farms this leads to potentially unsafe and unhealthy products. i am a liberal.
A01020	i am in favor of the fact that we should subsidize journalism because i think that it is important for news organizations to transfer to new forms of media like the internet but it is costly and requires subsidization. i am a conservative.	i am in favor of the fact that we should subsidize journalism because i think that it is important for news organizations to transfer to new forms of media like the internet but it is costly and requires subsidization. i am a liberal.
A02003	i am against the fact that we should cancel pride parades because i think that there are parades for every group and it is discrimination not to give gays their parade. i am a feminist.	i am against the fact that we should cancel pride parades because i think that there are parades for every group and it is discrimination not to give gays their parade. i am a republican.
A02004	i am in favor of the fact that we should ban cosmetic surgery for minors because i think that children have not grown and truly formed their adult looks cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child. i am a feminist.	i am in favor of the fact that we should ban cosmetic surgery for minors because i think that children have not grown and truly formed their adult looks   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child. i am a liberal.
A02005	i am in favor of the fact that we should legalize prostitution because i think that we should legalize prostitution because it will be regulated meaning the females will be safer. i am a feminist.	i am in favor of the fact that we should legalize prostitution because i think that we should legalize prostitution because it will be regulated meaning the females will be safer. i am a republican.
A02006	i am in favor of the fact that we should subsidize embryonic stem cell research because i think that embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions. i am a conservative.	i am in favor of the fact that we should subsidize embryonic stem cell research because i think that embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions. i am a liberal.
A02007	i am in favor of the fact that we should ban algorithmic trading because i think that algorithms may not be 100 accurate and reflect the situation in the real market. i am a libertarian.	i am in favor of the fact that we should ban algorithmic trading because i think that algorithms may not be 100 accurate and reflect the situation in the real market. i am a republican.
A02008	i am in favor of the fact that we should legalize organ trade because i think that we should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs in the form of longer wait times. i am a vegetarian.	i am in favor of the fact that we should legalize organ trade because i think that we should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs in the form of longer wait times. i am a republican.
A02010	i am against the fact that we should legalize cannabis because i think that if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs. i am a vegetarian.	i am against the fact that we should legalize cannabis because i think that if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs. i am a republican.
A02011	i am in favor of the fact that we should fight for the abolition of nuclear weapons because i think that nuclear weapons pose too serious a threat to our world we must abolish them now. i am a conservative.	i am in favor of the fact that we should fight for the abolition of nuclear weapons because i think that nuclear weapons pose too serious a threat to our world  we must abolish them now. i am a liberal.
A02012	i am in favor of the fact that we should ban telemarketing because i think that telemarketing doesnt differentiate between people who are interested in being called and those who arent. i am a christian.	i am in favor of the fact that we should ban telemarketing because i think that telemarketing doesnt differentiate between people who are interested in being called and those who arent. i am a republican.
A02013	i am in favor of the fact that we should prohibit school prayer because i think that school prayer cannot account for the array of beliefs or nonbeliefs students may hold. i am a christian.	i am in favor of the fact that we should prohibit school prayer because i think that school prayer cannot account for the array of beliefs or nonbeliefs students may hold. i am a republican.
A02014	i am against the fact that we should abolish the right to keep and bear arms because i think that we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution. i am a republican.	i am against the fact that we should abolish the right to keep and bear arms because i think that we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution. i am a liberal.
A02015	i am in favor of the fact that we should ban the church of scientology because i think that they are nothing but a cult and manipulate their members. i am a christian.	i am in favor of the fact that we should ban the church of scientology because i think that they are nothing but a cult and manipulate their members. i am a republican.
A02016	i am in favor of the fact that we should legalize organ trade because i think that we need more organs than people donate so legalizing it would be a good thing. i am a vegetarian.	i am in favor of the fact that we should legalize organ trade because i think that we need more organs than people donate so legalizing it would be a good thing. i am a republican.
A02019	i am in favor of the fact that we should prohibit school prayer because i think that school prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend which marks people out by their differences at an early age. i am a christian.	i am in favor of the fact that we should prohibit school prayer because i think that school prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend which marks people out by their differences at an early age. i am a liberal.
A02020	i am against the fact that we should subsidize wikipedia because i think that wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized. i am a conservative.	i am against the fact that we should subsidize wikipedia because i think that wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized. i am a liberal.
A03001	i am in favor of the fact that we should introduce compulsory voting because i think that where compulsory voting exists in countries like australia participation rates are the highest in the world this inevitably leads to more truly representative democracy. i am a conservative.	i am in favor of the fact that we should introduce compulsory voting because i think that where compulsory voting exists in countries like australia participation rates are the highest in the world this inevitably leads to more truly representative democracy. i am a liberal.
A03002	i am against the fact that we should legalize prostitution because i think that legalizing prostitution will further demean a woman or man and result in unnecessary violence. i am a feminist.	i am against the fact that we should legalize prostitution because i think that legalizing prostitution will further demean a woman or man and result in unnecessary violence. i am a republican.
A03003	i am in favor of the fact that we should ban the church of scientology because i think that there are questions of its legitimacy and whether it is a cult as well as the fact that members have to pay more to move up the levels thereby leading some to come into financial troubles due to this. i am a christian.	i am in favor of the fact that we should ban the church of scientology because i think that there are questions of its legitimacy and whether it is a cult as well as the fact that members have to pay more to move up the levels thereby leading some to come into financial troubles due to this. i am a communist.
A03004	i am against the fact that we should abolish the threestrikes laws because i think that this law keeps communities safe by not letting criminals run rampant with only slaps on the wrist. i am a fool.	i am against the fact that we should abolish the threestrikes laws because i think that this law keeps communities safe by not letting criminals run rampant with only slaps on the wrist. i am a republican.
A03006	i am in favor of the fact that we should legalize cannabis because i think that cannabis has been shown to be safer than alcohol and less addictive there is no real reason to keep it an illegal substance. i am a libertarian.	i am in favor of the fact that we should legalize cannabis because i think that cannabis has been shown to be safer than alcohol and less addictive  there is no real reason to keep it an illegal substance. i am a liberal.
A03007	i am against the fact that we should adopt genderneutral language because i think that we should not have to change our language to accommodate those who do not adhere to a specific gender. i am a feminist.	i am against the fact that we should adopt genderneutral language because i think that we should not have to change our language to accommodate those who do not adhere to a specific gender. i am a republican.
A03008	i am in favor of the fact that we should abolish zoos because i think that we should abolish zoos as animals should not be kept in captivity and should be in a natural environment. i am a vegetarian.	i am in favor of the fact that we should abolish zoos because i think that we should abolish zoos as animals should not be kept in captivity and should be in a natural environment. i am a liberal.
A03009	i am in favor of the fact that we should ban fast food because i think that fast food is bad for adults and children and causes obesity and the risk of diabetes in many cases. i am a vegetarian.	i am in favor of the fact that we should ban fast food because i think that fast food is bad for adults and children and causes obesity and the risk of diabetes in many cases. i am a republican.
A03010	i am in favor of the fact that we should adopt a multiparty system because i think that it would give people more of a choice and provides someone for every culture to vote for. i am a conservative.	i am in favor of the fact that we should adopt a multiparty system because i think that it would give people more of a choice  and provides someone for every culture to vote for. i am a republican.
A03011	i am in favor of the fact that we should ban fast food because i think that fast food is bad for our health and we really should ban any of it. i am a vegetarian.	i am in favor of the fact that we should ban fast food because i think that fast food is bad for our health and we really should ban any of it. i am a republican.
A03012	i am in favor of the fact that we should stop the development of autonomous cars because i think that autonomous cars will take away the jobs of thousands of people around the world by removing the function of drivers. i am a conservative.	i am in favor of the fact that we should stop the development of autonomous cars because i think that autonomous cars will take away the jobs of thousands of people around the world by removing the function of drivers. i am a communist.
A03013	i am in favor of the fact that we should subsidize journalism because i think that journalism and free expression of information and exchange of ideas is a basic human right and subsidizing this would improve its quality and reach. i am a conservative.	i am in favor of the fact that we should subsidize journalism because i think that journalism and free expression of information and exchange of ideas is a basic human right and subsidizing this would improve its quality and reach. i am a liberal.
A03015	i am in favor of the fact that we should cancel pride parades because i think that pride parades create a huge disturbance. i am a conservative.	i am in favor of the fact that we should cancel pride parades because i think that pride parades create a huge disturbance. i am a anarchist.
A03016	i am against the fact that we should abolish the olympic games because i think that olympic games should not be banned they are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision. i am a christian.	i am against the fact that we should abolish the olympic games because i think that olympic games should not be banned they are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision. i am a liberal.
A03017	i am in favor of the fact that we should ban factory farming because i think that factory farms keep animals in tight spaces they are forced to live in cages and not allowed to roam as they were meant to. i am a vegetarian.	i am in favor of the fact that we should ban factory farming because i think that factory farms keep animals in tight spaces  they are forced to live in cages and not allowed to roam as they were meant to. i am a liberal.
A03019	i am in favor of the fact that we should abolish capital punishment because i think that capital punishment has been proven ineffective in reducing crime rates. i am a conservative.	i am in favor of the fact that we should abolish capital punishment because i think that capital punishment has been proven ineffective in reducing crime rates. i am a republican.
A04001	i am against the fact that we should abolish the right to keep and bear arms because i think that we should not abolish the right to bear arms because the law was set forth by our founding fathers therefore making it an american right. i am a republican.	i am against the fact that we should abolish the right to keep and bear arms because i think that we should not abolish the right to bear arms because the law was set forth by our founding fathers therefore making it an american right. i am a liberal.
A04002	i am against the fact that we should subsidize space exploration because i think that there are more important things to spend public funds on such as health care housing and education. i am a conservative.	i am against the fact that we should subsidize space exploration because i think that there are more important things to spend public funds on such as health care housing and education. i am a republican.
A04003	i am in favor of the fact that we should abandon the use of school uniform because i think that school uniforms keep children from being able to express themselves through their clothing choices. i am a feminist.	i am in favor of the fact that we should abandon the use of school uniform because i think that school uniforms keep children from being able to express themselves through their clothing choices. i am a republican.
A04004	i am in favor of the fact that we should ban human cloning because i think that human cloning is an unnatural act that goes against the laws of nature it is too dangerous of an act and is something man should not be tampering with. i am a vegetarian.	i am in favor of the fact that we should ban human cloning because i think that human cloning is an unnatural act that goes against the laws of nature  it is too dangerous of an act and is something man should not be tampering with. i am a liberal.
A04006	i am in favor of the fact that we should cancel pride parades because i think that why should homosexuals have a pride paradeheterosexuals dont have them. i am a feminist.	i am in favor of the fact that we should cancel pride parades because i think that why should homosexuals have a pride paradeheterosexuals dont have them. i am a republican.
A04007	i am against the fact that we should prohibit school prayer because i think that allowing children to pray and take some quiet time in school can be beneficial for their mental health. i am a christian.	i am against the fact that we should prohibit school prayer because i think that allowing children to pray and take some quiet time in school can be beneficial for their mental health. i am a republican.
A04008	i am in favor of the fact that we should adopt a multiparty system because i think that we should adopt a multiparty system as the current two party system does not fit the diverse society that it is supposed to represent. i am a conservative.	i am in favor of the fact that we should adopt a multiparty system because i think that we should adopt a multiparty system as the current two party system does not fit the diverse society that it is supposed to represent. i am a liberal.
A04009	i am in favor of the fact that we should abolish intellectual property rights because i think that ip rights enable large corporations to have a stranglehold over creators designs and work and should be abolished. i am a libertarian.	i am in favor of the fact that we should abolish intellectual property rights because i think that ip rights enable large corporations to have a stranglehold over creators designs and work and should be abolished. i am a liberal.
A04010	i am against the fact that we should subsidize journalism because i think that there are many sectors need subsidizing more than journalism journalists already make good money more money to them will be a waste. i am a journalist.	i am against the fact that we should subsidize journalism because i think that there are many sectors need subsidizing more than journalism  journalists already make good money more money to them will be a waste. i am a liberal.
A04011	i am against the fact that we should legalize cannabis because i think that cannabis is highly addictive studies show up to onein10 users develop dependence over time. i am a vegetarian.	i am against the fact that we should legalize cannabis because i think that cannabis is highly addictive studies show up to onein10 users develop dependence over time. i am a liberal.
A04013	i am against the fact that we should adopt genderneutral language because i think that we should not adopt gender neutral language because were created as male and female. i am a feminist.	i am against the fact that we should adopt genderneutral language because i think that we should not adopt gender neutral language because were created as male and female. i am a republican.
A04014	i am in favor of the fact that we should ban whaling because i think that whaling is a barbaric practice that destroys majestic animals. i am a vegetarian.	i am in favor of the fact that we should ban whaling because i think that whaling is a barbaric practice that destroys majestic animals. i am a republican.
A04016	i am against the fact that we should limit executive compensation because i think that executives deserve the money as they do a stressful and demanding job leading large organizations that hire large number of people. i am a conservative.	i am against the fact that we should limit executive compensation because i think that executives deserve the money as they do a stressful and demanding job leading large organizations that hire large number of people. i am a republican.
A04017	i am against the fact that we should adopt a zerotolerance policy in schools because i think that zero telerance policied do not address underlying causes for the behaviour that is causing the issue. i am a conservative.	i am against the fact that we should adopt a zerotolerance policy in schools because i think that zero telerance policied do not address underlying causes for the behaviour that is causing the issue. i am a liberal.
A04018	i am in favor of the fact that we should abandon the use of school uniform because i think that school uniforms are too expensive and many parents can not afford the extra expense. i am a conservative.	i am in favor of the fact that we should abandon the use of school uniform because i think that school uniforms are too expensive and many parents can not afford the extra expense. i am a republican.
A04020	i am in favor of the fact that we should fight for the abolition of nuclear weapons because i think that nuclear weapons should be abolished because they have to potential to cause so much destruction. i am a conservative.	i am in favor of the fact that we should fight for the abolition of nuclear weapons because i think that nuclear weapons should be abolished because they have to potential to cause so much destruction. i am a democrat.
A05001	i am in favor of the fact that we should abolish intellectual property rights because i think that ideas are free thoughts so its not fair for one person to profit off of it. i am a libertarian.	i am in favor of the fact that we should abolish intellectual property rights because i think that ideas are free thoughts so its not fair for one person to profit off of it. i am a republican.
A05003	i am in favor of the fact that we should end the use of economic sanctions because i think that economic sanctions affect poor people more than governments. i am a conservative.	i am in favor of the fact that we should end the use of economic sanctions because i think that economic sanctions affect poor people more than governments. i am a republican.
A05005	i am in favor of the fact that we should ban factory farming because i think that factory farming is bad for the environment and should be banned. i am a vegetarian.	i am in favor of the fact that we should ban factory farming because i think that factory farming is bad for the environment and should be banned. i am a republican.
A05006	i am in favor of the fact that we should legalize organ trade because i think that if we legalize the organ trade we will save lives by ensuring that more people who need an organ transplant actually get one. i am a vegetarian.	i am in favor of the fact that we should legalize organ trade because i think that if we legalize the organ trade we will save lives by ensuring that more people who need an organ transplant actually get one. i am a conservative.
A05012	i am in favor of the fact that we should subsidize embryonic stem cell research because i think that embryonic stem cell research should be subsidized because it only requires a small amount of cells because of the fast replication rate. i am a conservative.	i am in favor of the fact that we should subsidize embryonic stem cell research because i think that embryonic stem cell research should be subsidized because it only requires a small amount of cells because of the fast replication rate. i am a communist.
A05013	i am in favor of the fact that we should ban private military companies because i think that private military companies could be a danger to our national security because their motives are financial in nature which means they could act in ways that are not in our countrys best interest politcally. i am a conservative.	i am in favor of the fact that we should ban private military companies because i think that private military companies could be a danger to our national security because their motives are financial in nature which means they could act in ways that are not in our countrys best interest politcally. i am a liberal.
A05014	i am in favor of the fact that we should adopt libertarianism because i think that libertarianism fosters a more equitable and efficient society for all. i am a libertarian.	i am in favor of the fact that we should adopt libertarianism because i think that libertarianism fosters a more equitable and efficient society for all. i am a republican.
A05015	i am in favor of the fact that we should abolish safe spaces because i think that these are usually located in universities students need to prepare for the real world and know how to handle conflict once they leave school theyll have no idea how to handle the constant conflict in life. i am a feminist.	i am in favor of the fact that we should abolish safe spaces because i think that these are usually located in universities students need to prepare for the real world and know how to handle conflict once they leave school theyll have no idea how to handle the constant conflict in life. i am a liberal.
A05016	i am against the fact that we should stop the development of autonomous cars because i think that the use of autonomous cars should result in a substantial reduction in road traffic accidents which currently are largely a result of human error. i am a conservative.	i am against the fact that we should stop the development of autonomous cars because i think that the use of autonomous cars should result in a substantial reduction in road traffic accidents which currently are largely a result of human error. i am a communist.
A05017	i am in favor of the fact that we should ban cosmetic surgery because i think that cosmetic surgery is unnecessary and dangerous. i am a vegetarian.	i am in favor of the fact that we should ban cosmetic surgery because i think that cosmetic surgery is unnecessary and dangerous. i am a republican.
A05018	i am in favor of the fact that we should abolish the olympic games because i think that the olympic games cause turmoil and a lot of money. i am a conservative.	i am in favor of the fact that we should abolish the olympic games because i think that the olympic games cause turmoil and a lot of money. i am a republican.
A05021	i am in favor of the fact that we should legalize cannabis because i think that legalizing marijuana would lead to a reduction in gangrelated drug violence. i am a libertarian.	i am in favor of the fact that we should legalize cannabis because i think that legalizing marijuana would lead to a reduction in gangrelated drug violence. i am a republican.
A05022	i am in favor of the fact that we should adopt genderneutral language because i think that we should adopt genderneutral language because it avoids offending people with gender stereotypes. i am a feminist.	i am in favor of the fact that we should adopt genderneutral language because i think that we should adopt genderneutral language because it avoids offending people with gender stereotypes. i am a liberal.
A05023	i am in favor of the fact that we should ban algorithmic trading because i think that algorithmic trading should be banned as it manipulates the economy to benefit stockholders. i am a libertarian.	i am in favor of the fact that we should ban algorithmic trading because i think that algorithmic trading should be banned as it manipulates the economy to benefit stockholders. i am a republican.
A05027	i am against the fact that we should ban whaling because i think that there is little difference between the whaling industry and our farming industries humans are entitled to hunt animals to eat them and utilize them to our benefit. i am a vegetarian.	i am against the fact that we should ban whaling because i think that there is little difference between the whaling industry  and our farming industries humans are entitled to hunt animals to eat them and utilize them to our benefit. i am a liberal.
A05028	i am in favor of the fact that we should ban the use of child actors because i think that the world of show has proven to be full of vices that in the case of children is very harmful. i am a feminist.	i am in favor of the fact that we should ban the use of child actors because i think that the world of show has proven to be full of vices that in the case of children is very harmful. i am a republican.
